"Unidade da Federação";"Sexo";"Idade";"Cor ou raça";"Total"
"Rondônia";"Total";"Total";"Branca";"551843"
"Rondônia";"Total";"Total";"Preta";"107082"
"Rondônia";"Total";"Total";"Amarela";"22209"
"Rondônia";"Total";"Total";"Parda";"869106"
"Rondônia";"Total";"Total";"Indígena";"12015"
"Acre";"Total";"Total";"Branca";"174966"
"Acre";"Total";"Total";"Preta";"42531"
"Acre";"Total";"Total";"Amarela";"13875"
"Acre";"Total";"Total";"Parda";"486254"
"Acre";"Total";"Total";"Indígena";"15921"
"Amazonas";"Total";"Total";"Branca";"740065"
"Amazonas";"Total";"Total";"Preta";"143748"
"Amazonas";"Total";"Total";"Amarela";"31773"
"Amazonas";"Total";"Total";"Parda";"2399713"
"Amazonas";"Total";"Total";"Indígena";"168680"
"Roraima";"Total";"Total";"Branca";"94252"
"Roraima";"Total";"Total";"Preta";"26364"
"Roraima";"Total";"Total";"Amarela";"4318"
"Roraima";"Total";"Total";"Parda";"275908"
"Roraima";"Total";"Total";"Indígena";"49637"
"Pará";"Total";"Total";"Branca";"1653307"
"Pará";"Total";"Total";"Preta";"548825"
"Pará";"Total";"Total";"Amarela";"69198"
"Pará";"Total";"Total";"Parda";"5270307"
"Pará";"Total";"Total";"Indígena";"39081"
"Amapá";"Total";"Total";"Branca";"160487"
"Amapá";"Total";"Total";"Preta";"58286"
"Amapá";"Total";"Total";"Amarela";"6602"
"Amapá";"Total";"Total";"Parda";"436741"
"Amapá";"Total";"Total";"Indígena";"7408"
"Tocantins";"Total";"Total";"Branca";"345248"
"Tocantins";"Total";"Total";"Preta";"126217"
"Tocantins";"Total";"Total";"Amarela";"25534"
"Tocantins";"Total";"Total";"Parda";"873313"
"Tocantins";"Total";"Total";"Indígena";"13131"
"Maranhão";"Total";"Total";"Branca";"1455119"
"Maranhão";"Total";"Total";"Preta";"636808"
"Maranhão";"Total";"Total";"Amarela";"74219"
"Maranhão";"Total";"Total";"Parda";"4373321"
"Maranhão";"Total";"Total";"Indígena";"35272"
"Piauí";"Total";"Total";"Branca";"759361"
"Piauí";"Total";"Total";"Preta";"292951"
"Piauí";"Total";"Total";"Amarela";"66731"
"Piauí";"Total";"Total";"Parda";"1996371"
"Piauí";"Total";"Total";"Indígena";"2944"
"Ceará";"Total";"Total";"Branca";"2704732"
"Ceará";"Total";"Total";"Preta";"392733"
"Ceará";"Total";"Total";"Amarela";"105307"
"Ceará";"Total";"Total";"Parda";"5230214"
"Ceará";"Total";"Total";"Indígena";"19336"
"Rio Grande do Norte";"Total";"Total";"Branca";"1303592"
"Rio Grande do Norte";"Total";"Total";"Preta";"166090"
"Rio Grande do Norte";"Total";"Total";"Amarela";"32796"
"Rio Grande do Norte";"Total";"Total";"Parda";"1662645"
"Rio Grande do Norte";"Total";"Total";"Indígena";"2597"
"Paraíba";"Total";"Total";"Branca";"1499253"
"Paraíba";"Total";"Total";"Preta";"212968"
"Paraíba";"Total";"Total";"Amarela";"48487"
"Paraíba";"Total";"Total";"Parda";"1986619"
"Paraíba";"Total";"Total";"Indígena";"19149"
"Pernambuco";"Total";"Total";"Branca";"3225294"
"Pernambuco";"Total";"Total";"Preta";"570795"
"Pernambuco";"Total";"Total";"Amarela";"82152"
"Pernambuco";"Total";"Total";"Parda";"4864865"
"Pernambuco";"Total";"Total";"Indígena";"53284"
"Alagoas";"Total";"Total";"Branca";"986326"
"Alagoas";"Total";"Total";"Preta";"205154"
"Alagoas";"Total";"Total";"Amarela";"36684"
"Alagoas";"Total";"Total";"Parda";"1877818"
"Alagoas";"Total";"Total";"Indígena";"14509"
"Sergipe";"Total";"Total";"Branca";"583428"
"Sergipe";"Total";"Total";"Preta";"184054"
"Sergipe";"Total";"Total";"Amarela";"25708"
"Sergipe";"Total";"Total";"Parda";"1269565"
"Sergipe";"Total";"Total";"Indígena";"5219"
"Bahia";"Total";"Total";"Branca";"3110605"
"Bahia";"Total";"Total";"Preta";"2397249"
"Bahia";"Total";"Total";"Amarela";"158925"
"Bahia";"Total";"Total";"Parda";"8293057"
"Bahia";"Total";"Total";"Indígena";"56381"
"Minas Gerais";"Total";"Total";"Branca";"8894547"
"Minas Gerais";"Total";"Total";"Preta";"1806541"
"Minas Gerais";"Total";"Total";"Amarela";"187119"
"Minas Gerais";"Total";"Total";"Parda";"8677745"
"Minas Gerais";"Total";"Total";"Indígena";"31112"
"Espírito Santo";"Total";"Total";"Branca";"1481678"
"Espírito Santo";"Total";"Total";"Preta";"293334"
"Espírito Santo";"Total";"Total";"Amarela";"21956"
"Espírito Santo";"Total";"Total";"Parda";"1708796"
"Espírito Santo";"Total";"Total";"Indígena";"9160"
"Rio de Janeiro";"Total";"Total";"Branca";"7583047"
"Rio de Janeiro";"Total";"Total";"Preta";"1978681"
"Rio de Janeiro";"Total";"Total";"Amarela";"122838"
"Rio de Janeiro";"Total";"Total";"Parda";"6288095"
"Rio de Janeiro";"Total";"Total";"Indígena";"15894"
"São Paulo";"Total";"Total";"Branca";"26371709"
"São Paulo";"Total";"Total";"Preta";"2277764"
"São Paulo";"Total";"Total";"Amarela";"558354"
"São Paulo";"Total";"Total";"Parda";"12010079"
"São Paulo";"Total";"Total";"Indígena";"41794"
"Paraná";"Total";"Total";"Branca";"7344122"
"Paraná";"Total";"Total";"Preta";"330830"
"Paraná";"Total";"Total";"Amarela";"123205"
"Paraná";"Total";"Total";"Parda";"2620378"
"Paraná";"Total";"Total";"Indígena";"25915"
"Santa Catarina";"Total";"Total";"Branca";"5246868"
"Santa Catarina";"Total";"Total";"Preta";"183857"
"Santa Catarina";"Total";"Total";"Amarela";"26017"
"Santa Catarina";"Total";"Total";"Parda";"775558"
"Santa Catarina";"Total";"Total";"Indígena";"16041"
"Rio Grande do Sul";"Total";"Total";"Branca";"8900007"
"Rio Grande do Sul";"Total";"Total";"Preta";"595123"
"Rio Grande do Sul";"Total";"Total";"Amarela";"35682"
"Rio Grande do Sul";"Total";"Total";"Parda";"1130043"
"Rio Grande do Sul";"Total";"Total";"Indígena";"32989"
"Mato Grosso do Sul";"Total";"Total";"Branca";"1158103"
"Mato Grosso do Sul";"Total";"Total";"Preta";"120096"
"Mato Grosso do Sul";"Total";"Total";"Amarela";"29957"
"Mato Grosso do Sul";"Total";"Total";"Parda";"1067560"
"Mato Grosso do Sul";"Total";"Total";"Indígena";"73295"
"Mato Grosso";"Total";"Total";"Branca";"1137150"
"Mato Grosso";"Total";"Total";"Preta";"229890"
"Mato Grosso";"Total";"Total";"Amarela";"34642"
"Mato Grosso";"Total";"Total";"Parda";"1590707"
"Mato Grosso";"Total";"Total";"Indígena";"42538"
"Goiás";"Total";"Total";"Branca";"2502119"
"Goiás";"Total";"Total";"Preta";"391918"
"Goiás";"Total";"Total";"Amarela";"98478"
"Goiás";"Total";"Total";"Parda";"3002673"
"Goiás";"Total";"Total";"Indígena";"8533"
"Distrito Federal";"Total";"Total";"Branca";"1084418"
"Distrito Federal";"Total";"Total";"Preta";"198072"
"Distrito Federal";"Total";"Total";"Amarela";"41522"
"Distrito Federal";"Total";"Total";"Parda";"1239882"
"Distrito Federal";"Total";"Total";"Indígena";"6128"
